epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0522,1.27863,4.06928,1.67069,0.85979,0.78049,0.89554,0.47067,1.6492,2.41486,2.63929,0.00044,0.00044,0.00044
2,19.7612,1.33256,1.38179,1.63783,0.00033,0.09756,0.00035,0.0001,5.21105,3.63761,8.25283,0.0008703,0.0008703,0.0008703
3,28.4365,1.42013,1.1074,1.71002,0.00076,0.04878,0.00233,0.00063,3.73993,6.44046,14.3738,0.00127024,0.00127024,0.00127024
4,36.1228,1.36094,1.0281,1.6807,0,0,0,0,4.66159,1952.16,55.5389,0.00163982,0.00163982,0.00163982
5,44.6706,1.42964,1.05337,1.68129,0,0,0,0,0.15177,2371.5,0.65764,0.001736,0.001736,0.001736
6,53.2658,1.38781,0.9836,1.66971,0.11757,0.12195,0.03492,0.0101,3.03798,8.81762,5.44912,0.00167,0.00167,0.00167
7,60.9145,1.34576,0.95612,1.64157,0.19807,0.21951,0.11573,0.0372,3.22889,4.0115,3.77987,0.001604,0.001604,0.001604
8,69.4982,1.27941,0.81685,1.56907,0.60848,0.7561,0.7725,0.29087,2.35082,1.70384,3.20758,0.001538,0.001538,0.001538
9,77.6454,1.25533,0.83372,1.55863,0.75957,0.84769,0.81484,0.38956,1.90016,1.22253,2.59339,0.001472,0.001472,0.001472
10,85.7342,1.25195,0.78973,1.56085,0.86335,0.78049,0.88454,0.50051,1.70921,1.51478,2.36655,0.001406,0.001406,0.001406
11,94.3921,1.20366,0.74892,1.53455,0.93639,0.92683,0.97672,0.64181,1.28386,1.00772,1.98904,0.00134,0.00134,0.00134
12,102.494,1.19413,0.74694,1.54729,0.85763,0.95122,0.94351,0.58817,1.44448,1.02361,2.22538,0.001274,0.001274,0.001274
13,110.871,1.20066,0.75261,1.52676,0.93487,0.97561,0.99193,0.64658,1.23584,0.82195,1.92966,0.001208,0.001208,0.001208
14,119.503,1.14535,0.69954,1.5165,0.86659,0.82927,0.92573,0.54938,1.59985,0.99155,2.58611,0.001142,0.001142,0.001142
15,127.291,1.06436,0.65435,1.43616,0.97106,1,0.99452,0.69615,1.13661,0.71395,1.77721,0.001076,0.001076,0.001076
16,135.999,1.07121,0.65411,1.42443,0.96248,0.97561,0.99074,0.68512,1.14761,0.66391,1.85358,0.00101,0.00101,0.00101
17,144.512,1.04916,0.63077,1.42214,0.96685,0.95122,0.99268,0.63978,1.3024,0.62444,2.11667,0.000944,0.000944,0.000944
18,152.306,1.0231,0.58332,1.38853,0.97612,0.99711,0.99286,0.63109,1.4186,0.71267,2.19663,0.000878,0.000878,0.000878
19,160.951,1.0505,0.61014,1.39709,0.92648,1,0.98977,0.69554,1.12185,0.63039,1.70331,0.000812,0.000812,0.000812
20,169.465,1.00941,0.58359,1.38621,0.9756,1,0.995,0.69208,1.12824,0.56949,1.76427,0.000746,0.000746,0.000746
21,178.482,0.89542,0.47897,1.49292,1,0.99177,0.995,0.73301,0.95186,0.46851,1.57564,0.00068,0.00068,0.00068
22,186.971,0.85618,0.47037,1.45824,0.97428,1,0.99452,0.74339,0.94649,0.49285,1.55154,0.000614,0.000614,0.000614
23,195.573,0.83536,0.45233,1.41703,0.99755,1,0.995,0.77134,0.84895,0.45743,1.42819,0.000548,0.000548,0.000548
24,203.236,0.82936,0.44184,1.42978,0.99774,1,0.995,0.76764,1.00108,0.45925,1.60913,0.000482,0.000482,0.000482
25,211.505,0.74527,0.40095,1.33393,0.99378,1,0.995,0.80795,0.83659,0.42984,1.39633,0.000416,0.000416,0.000416
26,219.557,0.76,0.39499,1.35286,0.99835,1,0.995,0.76509,0.90845,0.46799,1.47581,0.00035,0.00035,0.00035
27,227.497,0.75869,0.38256,1.35272,0.97529,1,0.995,0.81047,0.89239,0.40834,1.47474,0.000284,0.000284,0.000284
28,235.937,0.68945,0.35111,1.28243,0.9982,1,0.995,0.8084,0.82091,0.37726,1.39138,0.000218,0.000218,0.000218
29,243.399,0.67809,0.34273,1.28658,0.99846,1,0.995,0.80186,0.83391,0.42092,1.41471,0.000152,0.000152,0.000152
30,251.749,0.6516,0.33878,1.2504,0.99848,1,0.995,0.81576,0.79294,0.40004,1.34802,8.6e-05,8.6e-05,8.6e-05
