epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.365,1.05161,2.48723,1.54884,0.36779,0.51987,0.37715,0.16644,1.68499,2.80249,2.56861,0.000408163,0.000408163,0.000408163
2,38.1606,1.01914,1.21268,1.46418,0.66903,0.18333,0.2499,0.1127,1.83257,3.35042,2.96691,0.000797611,0.000797611,0.000797611
3,54.9104,1.033,1.11735,1.46737,0.53472,0.33397,0.37757,0.24824,1.52688,3.5098,2.29317,0.00115956,0.00115956,0.00115956
4,71.5214,1.02291,1.0517,1.45895,0.14857,0.26346,0.13093,0.0262,3.08226,3.68012,3.64613,0.00112625,0.00112625,0.00112625
5,88.9187,1.02989,1.00874,1.4756,0.50721,0.67756,0.58878,0.24534,2.12986,1.68336,2.96032,0.001085,0.001085,0.001085
6,105.666,0.9861,0.972,1.43401,0.72954,0.74872,0.80926,0.55591,1.16289,1.32117,1.89892,0.00104375,0.00104375,0.00104375
7,122.117,0.9379,0.94036,1.39184,0.59679,0.74605,0.76059,0.44603,1.24426,1.26311,1.97606,0.0010025,0.0010025,0.0010025
8,139.386,0.95786,0.88199,1.40247,0.79607,0.67614,0.72575,0.3851,1.48007,1.5133,2.56757,0.00096125,0.00096125,0.00096125
9,156.171,0.94074,0.85068,1.38899,0.55862,0.70118,0.66871,0.32466,1.73631,1.66274,2.64055,0.00092,0.00092,0.00092
10,172.955,0.89614,0.85954,1.38587,0.8041,0.82711,0.88616,0.60445,1.10028,0.99277,1.78493,0.00087875,0.00087875,0.00087875
11,190.202,0.90229,0.79419,1.37832,0.73105,0.825,0.87142,0.6445,1.00572,0.99184,1.67187,0.0008375,0.0008375,0.0008375
12,207.117,0.90624,0.79597,1.38003,0.80626,0.89763,0.90513,0.65737,1.07086,0.79347,1.71826,0.00079625,0.00079625,0.00079625
13,223.819,0.87685,0.76031,1.35452,0.81334,0.95066,0.97416,0.72797,1.01462,0.85074,1.67674,0.000755,0.000755,0.000755
14,240.641,0.87678,0.7449,1.36067,0.86132,0.95299,0.97111,0.74074,0.95742,0.64197,1.52842,0.00071375,0.00071375,0.00071375
15,257.773,0.86716,0.72379,1.33328,0.8382,0.9333,0.97968,0.70005,1.05504,0.63543,1.75797,0.0006725,0.0006725,0.0006725
16,274.271,0.86495,0.75248,1.3361,0.82871,0.62929,0.80227,0.45984,1.38713,1.43337,2.24924,0.00063125,0.00063125,0.00063125
17,290.79,0.84666,0.70953,1.33698,0.76531,0.72644,0.79908,0.37337,1.85426,1.46934,3.4679,0.00059,0.00059,0.00059
18,307.986,0.83595,0.6735,1.32856,0.91189,0.94898,0.98516,0.77239,0.89923,0.57389,1.50776,0.00054875,0.00054875,0.00054875
19,324.487,0.81456,0.62356,1.30995,0.87216,0.92251,0.97805,0.7498,0.90542,0.67452,1.5223,0.0005075,0.0005075,0.0005075
20,340.897,0.81756,0.62209,1.31678,0.96544,0.96349,0.99287,0.77205,0.88181,0.45577,1.46218,0.00046625,0.00046625,0.00046625
21,359.684,0.76413,0.52132,1.45783,0.86974,0.93491,0.9871,0.74854,0.92209,0.59716,1.51214,0.000425,0.000425,0.000425
22,375.664,0.76167,0.46394,1.4405,0.97435,0.956,0.99009,0.79763,0.82244,0.43958,1.40999,0.00038375,0.00038375,0.00038375
23,391.883,0.76763,0.48536,1.45246,0.90107,0.90208,0.97197,0.76343,0.81167,0.58874,1.38608,0.0003425,0.0003425,0.0003425
24,408.049,0.75007,0.47185,1.43777,0.93589,0.95406,0.98808,0.76967,0.87786,0.49393,1.45996,0.00030125,0.00030125,0.00030125
25,424.68,0.74376,0.41933,1.43156,0.94662,0.96686,0.98931,0.79906,0.83525,0.4324,1.42435,0.00026,0.00026,0.00026
26,440.896,0.717,0.41838,1.4063,0.92154,0.96044,0.98959,0.8091,0.80321,0.45265,1.39592,0.00021875,0.00021875,0.00021875
27,456.959,0.69192,0.38864,1.37706,0.93472,0.91506,0.98381,0.79276,0.84464,0.53202,1.42213,0.0001775,0.0001775,0.0001775
28,473.548,0.70538,0.3736,1.38186,0.925,0.92619,0.96906,0.79126,0.79703,0.51573,1.39262,0.00013625,0.00013625,0.00013625
29,489.817,0.66005,0.34194,1.36553,0.96698,0.97372,0.99147,0.81365,0.77542,0.37469,1.35189,9.5e-05,9.5e-05,9.5e-05
30,505.747,0.65306,0.32126,1.3465,0.96237,0.96454,0.98915,0.80905,0.79049,0.39391,1.36087,5.375e-05,5.375e-05,5.375e-05
