epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8886,1.86542,10.1213,1.62435,0.74765,0.40476,0.45894,0.2887,1.15326,5.00191,1.09133,0.00044,0.00044,0.00044
2,24.9143,1.19247,1.93156,1.04991,0.02437,0.54762,0.01934,0.01068,1.5476,27.6007,1.22119,0.0008703,0.0008703,0.0008703
3,33.7339,1.25906,1.45487,1.14645,0,0,0,0,1.77978,inf,3.1224,0.00127024,0.00127024,0.00127024
4,41.7793,1.32754,1.20462,1.13231,0,0,0,0,4.71536,inf,16.583,0.00163982,0.00163982,0.00163982
5,50.404,1.30872,1.04582,1.14097,0.08622,0.02381,0.02631,0.02306,4.25375,12.8879,3.74094,0.001736,0.001736,0.001736
6,59.1045,1.23593,1.02183,1.11733,0.66678,0.33333,0.31554,0.16464,2.45393,3.75973,2.48875,0.00167,0.00167,0.00167
7,66.979,1.14699,0.95277,1.07662,0.38075,0.42857,0.30646,0.18446,1.9997,6.54642,1.79296,0.001604,0.001604,0.001604
8,75.761,1.12542,0.86642,1.04306,0.04101,0.11905,0.00951,0.00617,3.95479,11.9457,6.39156,0.001538,0.001538,0.001538
9,84.5326,1.17296,0.8812,1.09325,0.02383,0.7381,0.02257,0.01498,1.107,13.8627,1.03453,0.001472,0.001472,0.001472
10,92.4856,1.07108,0.79575,1.015,0.97409,0.89512,0.93835,0.69064,0.87964,0.65221,0.90615,0.001406,0.001406,0.001406
11,101.244,1.05313,0.81671,1.04308,0.94933,0.89224,0.9401,0.70943,0.8791,0.82176,0.91855,0.00134,0.00134,0.00134
12,109.637,0.99889,0.73785,0.99805,0.97083,0.95238,0.94769,0.73846,0.82191,0.62759,0.90848,0.001274,0.001274,0.001274
13,118.104,0.96594,0.69295,0.98669,0.97535,0.94243,0.96736,0.74145,0.82901,0.5877,0.92844,0.001208,0.001208,0.001208
14,127.781,0.94634,0.68433,1.00053,0.97984,0.90476,0.9737,0.77369,0.80998,0.57506,0.89523,0.001142,0.001142,0.001142
15,136.504,0.90574,0.64089,0.99114,0.99466,0.92857,0.96759,0.74858,0.82814,0.60853,0.88141,0.001076,0.001076,0.001076
16,144.514,0.88439,0.66971,0.97095,0.9521,0.94658,0.95771,0.7511,0.72087,0.56494,0.87316,0.00101,0.00101,0.00101
17,153.305,0.87284,0.66967,0.96199,0.96663,0.95238,0.97703,0.75871,0.79108,0.56617,0.86609,0.000944,0.000944,0.000944
18,161.928,0.88139,0.64893,0.9635,0.95795,0.95238,0.96968,0.78192,0.66423,0.53621,0.84938,0.000878,0.000878,0.000878
19,170.295,0.87643,0.63766,0.95243,0.97457,0.97619,0.98241,0.81562,0.71852,0.49555,0.85343,0.000812,0.000812,0.000812
20,179.025,0.81432,0.56784,0.9336,0.95078,0.97619,0.983,0.81232,0.67335,0.48645,0.84299,0.000746,0.000746,0.000746
21,189.163,0.74644,0.5253,0.92259,0.97168,0.95238,0.98168,0.81627,0.66907,0.47687,0.84342,0.00068,0.00068,0.00068
22,197.127,0.68478,0.48363,0.88036,0.97202,0.95238,0.98417,0.83507,0.58647,0.42991,0.82805,0.000614,0.000614,0.000614
23,205.698,0.68399,0.48638,0.91552,0.97104,0.97619,0.98144,0.8078,0.67787,0.45395,0.8433,0.000548,0.000548,0.000548
24,214.097,0.66682,0.46389,0.91121,0.97014,0.95238,0.98566,0.83727,0.59153,0.42864,0.82919,0.000482,0.000482,0.000482
25,222.122,0.62298,0.43502,0.88521,0.97613,0.97389,0.9857,0.8549,0.54831,0.38878,0.83023,0.000416,0.000416,0.000416
26,230.701,0.64804,0.43051,0.87823,0.96987,0.97619,0.98867,0.86268,0.59835,0.39832,0.82766,0.00035,0.00035,0.00035
27,238.961,0.61796,0.42802,0.89773,0.96773,0.97619,0.98716,0.83325,0.61241,0.4075,0.82379,0.000284,0.000284,0.000284
28,247.142,0.60523,0.41731,0.87572,0.97418,0.97619,0.98707,0.84606,0.57791,0.38619,0.81702,0.000218,0.000218,0.000218
29,255.702,0.58239,0.40475,0.87891,0.97318,0.97619,0.98962,0.87147,0.54296,0.37428,0.81265,0.000152,0.000152,0.000152
30,263.583,0.55606,0.39588,0.85351,0.97665,0.99575,0.99291,0.87318,0.56628,0.35893,0.81546,8.6e-05,8.6e-05,8.6e-05
