epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.649,1.65847,6.15954,1.45443,0.166,0.30682,0.11033,0.04841,1.6527,6.28735,1.46165,0.00052,0.00052,0.00052
2,33.8827,1.6353,1.94814,1.34524,0.00919,0.43182,0.00661,0.00299,2.06556,84.7412,2.3073,0.00102502,0.00102502,0.00102502
3,46.5798,1.67982,1.60637,1.37215,0.00102,0.15909,0.0006,0.00024,3.66762,inf,65.5822,0.0014944,0.0014944,0.0014944
4,59.6966,1.71196,1.50819,1.43995,0.23299,0.12776,0.05734,0.02057,3.18284,7.16234,3.68442,0.001802,0.001802,0.001802
5,72.5908,1.61216,1.24278,1.39352,0.04786,0.04545,0.00575,0.00271,nan,nan,nan,0.001736,0.001736,0.001736
6,85.0517,1.63881,1.18432,1.38641,0.01639,0.05682,0.00513,0.00228,nan,nan,nan,0.00167,0.00167,0.00167
7,97.9714,1.58528,1.18261,1.35104,0.53877,0.44318,0.36111,0.18756,1.8886,3.7999,1.69066,0.001604,0.001604,0.001604
8,111.023,1.55172,1.14906,1.32989,0.83189,0.67483,0.75302,0.41446,1.66769,1.56472,1.50033,0.001538,0.001538,0.001538
9,123.368,1.52064,1.0822,1.31281,0.7652,0.55552,0.63164,0.37724,1.69735,1.9018,1.5863,0.001472,0.001472,0.001472
10,136.469,1.46308,1.01917,1.28585,0.78676,0.79545,0.82321,0.47016,1.44277,1.4148,1.39716,0.001406,0.001406,0.001406
11,149.28,1.46618,1.02027,1.29665,0.9147,0.73118,0.86163,0.49423,1.48611,1.07816,1.43929,0.00134,0.00134,0.00134
12,162.095,1.43422,0.99091,1.28631,0.91675,0.87593,0.9394,0.59012,1.3137,0.79415,1.2709,0.001274,0.001274,0.001274
13,174.622,1.42434,0.88985,1.26101,0.87756,0.85227,0.92595,0.56649,1.32775,0.76879,1.29308,0.001208,0.001208,0.001208
14,187.167,1.44191,0.93264,1.30425,0.90396,0.76136,0.89301,0.58498,1.27539,0.81835,1.25785,0.001142,0.001142,0.001142
15,200.371,1.41362,0.88193,1.29272,0.91563,0.86328,0.95398,0.5869,1.33255,0.76175,1.26987,0.001076,0.001076,0.001076
16,213.271,1.40394,0.86638,1.25413,0.89472,0.86918,0.93349,0.59215,1.22073,0.72235,1.23224,0.00101,0.00101,0.00101
17,225.72,1.41308,0.88547,1.2622,0.91147,0.88636,0.95093,0.63035,1.18663,0.69658,1.22657,0.000944,0.000944,0.000944
18,238.444,1.34562,0.83477,1.21023,0.9097,0.91588,0.93491,0.62104,1.18153,0.69716,1.25768,0.000878,0.000878,0.000878
19,250.732,1.32189,0.83525,1.25153,0.92128,0.90909,0.94998,0.60703,1.23959,0.68264,1.26448,0.000812,0.000812,0.000812
20,263.252,1.315,0.81848,1.23343,0.93895,0.89773,0.93761,0.60999,1.27551,0.71075,1.25918,0.000746,0.000746,0.000746
21,278.912,1.3465,0.7952,1.24472,0.93033,0.91041,0.96017,0.62249,1.29032,0.67076,1.23961,0.00068,0.00068,0.00068
22,291.32,1.32575,0.76431,1.26511,0.85967,0.92045,0.9199,0.62182,1.16499,0.66462,1.23953,0.000614,0.000614,0.000614
23,304.077,1.32973,0.74811,1.24088,0.95279,0.9173,0.94326,0.64228,1.19069,0.63627,1.22354,0.000548,0.000548,0.000548
24,316.456,1.25964,0.72309,1.21486,0.95097,0.92045,0.93917,0.65521,1.12892,0.61206,1.20598,0.000482,0.000482,0.000482
25,328.776,1.24505,0.70917,1.19119,0.98573,0.92045,0.96946,0.66674,1.11044,0.61371,1.19555,0.000416,0.000416,0.000416
26,340.706,1.22724,0.69006,1.18163,0.91921,0.93182,0.96042,0.68051,1.06591,0.59169,1.17518,0.00035,0.00035,0.00035
27,353.243,1.22687,0.67239,1.20043,0.92017,0.91697,0.94749,0.685,1.06371,0.57191,1.17842,0.000284,0.000284,0.000284
28,365.51,1.20378,0.6717,1.17165,0.93121,0.92298,0.94432,0.67793,1.06754,0.55332,1.17553,0.000218,0.000218,0.000218
29,377.861,1.18686,0.63256,1.19135,0.91551,0.93182,0.94288,0.68992,1.03584,0.55223,1.17157,0.000152,0.000152,0.000152
30,390.389,1.19447,0.63886,1.16219,0.93303,0.94987,0.94666,0.70405,1.02352,0.54287,1.1601,8.6e-05,8.6e-05,8.6e-05
